sentence_ids,tokens,lemma,PoS,depparse,head,constituency
3,né,né,ADV,advmod,leggere,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,leggere,leggere,VERB,conj,sapeva,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,né,né,ADV,advmod,scrivere,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,scrivere,scrivere,VERB,conj,leggere,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,",",",",PUNCT,punct,chiamava,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,e,e,CCONJ,cc,chiamava,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,si,si,PRON,expl,chiamava,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,chiamava,chiamare,VERB,conj,era,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,Gambara,Gambara,PROPN,nsubj,chiamava,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
3,.,.,PUNCT,punct,era,"(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET un) (NOUN contadino)) (sp (ADP senza) (sn (DET un) (NOUN soldo) (fp (PUNCT ,) (f2 (PRON che) (f (f (ibar (ADV non) (VERB sapeva)) (ADV né) (VERB leggere) (ADV né) (VERB scrivere)))) (PUNCT ,)))))) (CCONJ e) (f (ibar (PRON si) (VERB chiamava)) (compt (sn (PROPN Gambara)))) (PUNCT .)))"
4,-,-,PUNCT,punct,difficile,(ROOT (dirsp (PUNCT -) (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB fare) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))
4,Sarà,essere,AUX,cop,difficile,(ROOT (dirsp (PUNCT -) (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB fare) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))
4,tanto,tanto,ADV,advmod,difficile,(ROOT (dirsp (PUNCT -) (f (ir_infl (AUX Sarà)) (compc (sa (ADV tanto) (ADJ difficile)) (sv2 (VERB fare) (compt (sn (DET l') (NOUN astrologo)))))) (PUNCT ?)))
