word,phoneme,phoneme_surprisal
avevano,e,0.2711854636904183
avevano,v,0.09466252808363065
avevano,a,0.04181380091546024
avevano,n,1.4491974080023822
avevano,o,0.00047453138728722913
un,u,2.344331945273912
un,n,0.57487130152485
gran,g,4.582243346589162
gran,r,0.42626891927700616
gran,a,0.3266306027747696
gran,n,2.5095114161928005
da,d,5.996269835181784
da,a,4.7675876964507165
fare,f,2.0641232778542817
fare,a,0.033843993116937594
fare,r,0.025056865601081346
fare,e,0.3340658549417152
ad,a,3.6914970394546676
ad,d,5.330982493604826
abbaiare,a,1.9046039771423326
abbaiare,bb,4.937764500669017
abbaiare,a,0.32033089495113
abbaiare,j,2.992619718806737
abbaiare,a,-0.0
abbaiare,r,0.004304225550339753
abbaiare,e,-0.0
di,d,4.096893050169974
di,i,2.1021872036497906
giorno,dZ,5.213230517259819
giorno,o,1.5536179628863607
giorno,r,0.24355109440709352
giorno,n,0.0002920997457208218
giorno,o,0.08443745257289971
è,E,8.413842562684462
di,d,2.5398835993285225
di,i,0.669549313899074
notte,n,0.041074885208904496
notte,O,0.00016697135183929056
notte,tt,0.0003323687994120553
notte,e,0.0010224376055446823
perche,p,3.631767240531319
perche,e,0.6376900355484365
perche,r,0.03968658930597811
perche,k,3.4536367399883137
perche,e,5.390540587730799
c',tS,11.382356675138608
era,E,3.1601769733138543
era,r,0.3159735654872533
era,a,0.08550284339352096
sempre,s,3.7028543794677318
sempre,E,2.029127603906271
sempre,m,0.07824687270615834
sempre,p,-0.0
sempre,r,-0.0
sempre,e,-0.0
qualcuno,k,2.5106078100608973
qualcuno,w,0.366760918029439
qualcuno,a,0.29781122772821106
qualcuno,l,0.040231220766337644
qualcuno,k,0.002142617056391444
qualcuno,u,0.5505978476851803
qualcuno,n,-0.0
qualcuno,o,0.06682482478658862
per,p,4.985391017166075
per,e,1.6425659240403667
per,r,0.16285370047793676
la,l,4.965867240163905
la,a,2.303963239315637
strada,s,2.6781685888050113
strada,t,1.8268788893759076
strada,r,0.29833775528931
strada,a,0.021061833213661552
strada,d,0.03455968142052443
strada,a,0.004453487392364028
a,a,5.894761768632249
forza,f,4.478217211587624
forza,O,5.088429413493062
forza,r,2.2710488760304055
forza,ts,1.8012929381799565
forza,a,0.12296972418882998
