BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
1234094;46;u;;subito;s u b i t o;;;;;;;;alta;posteriore;v;alta;posteriore;v
1237711;46;b;;subito;s u b i t o;;;;;;;;occlusiva;bilabiale;sonora;occlusiva;bilabiale;sonora
1241195;46;i;;subito;s u b i t o;;;;;;;;alta;anteriore;v;alta;anteriore;v
1249485;46;t;;subito;s u b i t o;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1249485;46;o;;subito;s u b i t o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1252396;-1;<p:>;;;;;;;;;;;;;;;;
1267743;47;a;;a;a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1279076;48;t;;tessere;t E ss e r e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1280576;48;E;;tessere;t E ss e r e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
1286662;48;ss;;tessere;t E ss e r e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
1294511;48;e;;tessere;t E ss e r e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1296275;48;r;;tessere;t E ss e r e;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1298789;48;e;;tessere;t E ss e r e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1301700;49;l;;la;l a;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1303861;49;a;;la;l a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1307609;50;s;;sua;s u a;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
1313871;50;u;;sua;s u a;;;;;;;;alta;posteriore;v;alta;posteriore;v
1317620;50;a;;sua;s u a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1322030;51;t;;tela;t e l a;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1328292;51;e;;tela;t e l a;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1326881;51;l;;tela;t e l a;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1332393;51;a;;tela;t e l a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1337156;-1;<p:>;;;;;;;;;;;;;;;;
1403527;52;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1409877;52;r;;Arriva;a rr i v a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1415301;52;i;;Arriva;a rr i v a;;;;;;;;alta;anteriore;v;alta;anteriore;v
1420329;52;v;;Arriva;a rr i v a;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
1421872;52;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1423989;53;i;;il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
1426459;53;l;;il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1432456;54;k;;cavallo;k a v a ll o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
1434749;54;a;;cavallo;k a v a ll o;;;;;;;;bassa;centrale;v;bassa;centrale;v
1438763;54;v;;cavallo;k a v a ll o;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
1442246;54;a;;cavallo;k a v a ll o;;;;;;;;bassa;centrale;v;bassa;centrale;v
1450581;54;ll;;cavallo;k a v a ll o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1459622;54;o;;cavallo;k a v a ll o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1463238;-1;<p:>;;;;;;;;;;;;;;;;
