word,phoneme,phoneme_surprisal
contento,o,0.4854626583110872
ma,m,4.601755047779242
ma,a,0.7491783167679094
contento,k,2.4552315397967237
contento,o,2.5693796540310836
contento,n,1.3817280957242235
contento,t,4.160133601516944
contento,E,3.1556205510041773
contento,n,0.14684898350467898
contento,t,-0.0
contento,o,0.8397843584854285
in,i,4.372056208095208
in,n,2.903409798887806
tutto,t,3.569524484355089
tutto,u,1.4336457146059007
tutto,tt,0.09708314287658121
tutto,o,1.5722112222738849
è,E,6.6837356191184005
per,p,3.4614899012243376
per,e,1.1241058878732932
per,r,0.34267301268908185
tutto,t,3.04454211593706
tutto,u,0.5577963627747334
tutto,tt,0.0338723439825432
tutto,o,0.770771685021169
è,E,5.077610280628734
cambiate,k,2.6962309086032166
cambiate,a,4.717824207255134
cambiate,m,2.8488162541300066
cambiate,b,0.08957228708392172
cambiate,j,0.22950356701619185
cambiate,a,0.6399069094028855
cambiate,t,3.538708285126956
cambiate,e,1.063998811132505
la,l,2.0299284166410003
la,a,1.4274677067393866
camicia,k,4.020100635096247
camicia,a,1.1053304337176768
camicia,m,1.688879865708876
camicia,i,0.6432138778410255
camicia,tS,0.002146968649586317
camicia,a,0.013037688591141431
di,d,0.8801839422849664
di,i,2.650474038640563
vostro,v,4.535472521513461
vostro,O,2.4698590276898416
vostro,s,5.68670746166855
vostro,t,-0.0
vostro,r,-0.0
vostro,o,0.5063664022607743
figlio,f,3.2052312786260515
figlio,i,0.37135387057182717
figlio,LL,0.030779936881421853
figlio,o,0.010643571150052869
con,k,3.684597702579748
con,o,1.859075099332147
con,n,2.0417472177621083
la,l,1.9197949058295445
la,a,0.9529152390655693
sua,s,3.1442278664251075
sua,u,1.8436403925921037
sua,a,0.14891506039798452
quel,k,2.8916080947111356
quel,w,5.617669629610262
quel,e,3.0935387115537814
quel,l,2.621254982889445
giorno,dZ,5.868228247714618
giorno,o,1.1100748211579858
giorno,r,0.4827422249322093
giorno,n,-0.0
giorno,o,0.04547734082057485
stesso,s,3.177356958762241
stesso,t,3.8352691359783564
stesso,e,3.7663421100576113
stesso,ss,0.6263270011516376
stesso,o,1.0830337417452436
